compound_id,experiment_id,concentration,replicate_id,response
competitive_cmpd_10,exp_1,0.01,rep_1,99.541
competitive_cmpd_10,exp_1,0.01,rep_2,100.941
competitive_cmpd_10,exp_1,0.1,rep_1,96.181
competitive_cmpd_10,exp_1,0.1,rep_2,97.581
competitive_cmpd_10,exp_1,1.0,rep_1,74.084
competitive_cmpd_10,exp_1,1.0,rep_2,75.484
competitive_cmpd_10,exp_2,0.01,rep_1,99.58
competitive_cmpd_10,exp_2,0.01,rep_2,100.98
competitive_cmpd_10,exp_2,0.1,rep_1,96.83
competitive_cmpd_10,exp_2,0.1,rep_2,98.23
competitive_cmpd_10,exp_2,1.0,rep_1,76.745
competitive_cmpd_10,exp_2,1.0,rep_2,78.145
